ID;Anime;Character;Quote;;;;;;;;
Desire and self-protection; hatred from jealousy. I could analyze the mentality of the actions that were grounded on these abundant; repulsive emotions. That's because I had plenty of those ugly feelings inside of me. That's why it was simple to imagine. if they were similar things; then there was still room to understand it. I could explain using logic.;;;;;;;;
;;;;;;;;;;;
However; if there wasn't; then it was difficult.;;;;;;;;;
;;;;;;;;;;;
Without the concept of profit and loss; it was hard to imagine the feelings of people who went beyond people who went beyond logic and theory. I had too little to go on and above all else. I had committed too many mistakes up until now.;;;;;;;;;;
;;;;;;;;;;;
Good will; friendship; or even love;;;;;;;;;
1354;(One thousand and one nights);Sehara;"When I thought that I would never see you again. I was crippled by the pain of my heart being shattered. For the first time, I came to realize that ""Heartbreak"" was not just a word in books.";;;;;;;;
1355;(Boku wa Tomodachi ga Sukunai NEXT);Kodaka Hasegawa;You know what, I wish I could give everyone a happy ending. But life isn't some romantic anime and I can't fix what's wrong in life stumbling around being oblivious and nice all the time. ;;;;;;;;
1356;(Hunter X Hunter);Biscuit Krueger;There are liars who only lie when there's a reason to, and there are liars who also lie without a reason. ;;;;;;;;
1357;(Houkago no Pleiades);Minato;Do you dislike that someone you once knew has become someone new without your knowing?;;;;;;;;
1358;(Magi - The Labyrinth of Magic);Aladdin;If you keep lying like that, no one, not even yourself, will believe you anymore.;;;;;;;;
1359;(Natsume's Book of Friends);Takashi Natsume;What's been troubling me lately are these small farewells that make me feel a bit lonely. Brief meetings and farewells. I want to treasure each and every moment.;;;;;;;;
1360;(Kuroko's Basketball TV 3);Akashi Seijuurou;"I have not changed at all. There were two of me to begin with. It was merely a swap between us. I have no intent on hiding this. Whether or not you believe it is up to you, Tetsuya. However, if you want to call it a ""change"", then that was because it was necessary. The team did not change because I had changed. I changed because the team had changed. ";;;;;;;;
1361;(Liar Game);Akiyama Shinichi;Humans, in general, feel uneasy when there’s dissonance between them and their external environment. And so, to cancel that uneasiness they try to synchronize (or make peace) with that environment.;;;;;;;;
1362;(Hunter X Hunter);Ging Freecss;If I can get my target to move as I want, I've succeeded as a Hunter.;;;;;;;;
1363;(Hunter X Hunter);Meruem;Ha-ha these humans are definitely foolish creatures.  Think as hard as those weak brains of yours can manage. Do you humans ever listen to the cries of mercy coming from pigs and cows you slaughter?;;;;;;;;
1364;(One thousand and one nights);Sehara;We each have an arrow in our hearts that we cannot remove.;;;;;;;;
1365;(Giant Killing);Takeshi Tatsumi;Where's the fun in it if everything is going just as planned?;;;;;;;;
1366;(Rosario Vampire);Tsukune Aono;Our differences are what let us understand each other. We've worked together to come this far, there are no doubts or regret anymore. I'll overcome this fight and prove that even we can come to an understanding.;;;;;;;;
1367;(Giant Killing);Takeshi Tatsumi;Do your best, no matter how many times you fail!;;;;;;;;
1368;(Neon Genesis Evangelion);Shinji Ikari;No one can justify life by linking happy moments into a rosary.;;;;;;;;
1369;(Trigun);Vash the Stampede;It is a virtue to devote one's self to something, firmly believing in one's own ideals. But that does not mean it's alright to belittle the ideals or feelings of others. If you lead such a busy life and you don't realize how your parents feel, it's only self-satisfaction. It's alright to stop every now and again, if you want a moment's rest, if you want to feel what other people feel.;;;;;;;;
1370;(Kara no Kyoukai);Aozaki Touko;A rose will be born a rose. Different soil and water wouldn't change it into a different flower.;;;;;;;;
1371;(Serial Experiments Lain);Lain Iwakura;If you're not remembered, then you never existed.;;;;;;;;
1372;(Death Note);Mello;Oh, I almost forgot. In the event that anyone besides big-headed Near or the deluded murderer is reading these notes, then I should at least perform the basic courtesy of introducing myself, here at the end of the prologue. I am your narrator, your navigator, your storyteller. For anyone else but those two, my identity may be of no interest, but I am the old world's runner-up, the best dresser that died like a dog, Mihael Keehl. I once called myself Mello and was addressed by that name, but that was a long time ago.;;;;;;;;
1373;(Death Note);L Lawliet;There is no heaven or hell. No matter what you do while you're alive, everybody goes to the same place once you die. Death is Equal.  ;;;;;;;;
1374;(Air Gear);Rika Noyamano;From the past... I always wanted to ask. God, why... Are you so unfair and extremely cruel? Why do you separate those who can fly... And those who cannot and bring them into existence? Why, in this one world... You made the effort to divide them into two and bring them together? In reality everyone was born with wings!.. Why didn't I realize that until now? It's not that those who can fly are able to fly, but that those who think of flying... Those who believe they can fly are the ones who can fly.;;;;;;;;
;;;;;;;;;;;
1376;(xxxHOLiC);Yuuko Ichihara;If you've decided that you can't do it even before you act, you have already made it into something impossible.;;;;;;;;
1377;(Sekirei);Hayato Mikogami;This is exactly why I detest adults! You always have such a parochial approach, always trying to force the rules of your petty world onto others!;;;;;;;;
1378;(One thousand and one nights);Sehara;It takes more courage to speak the truth than it does to wield a sword.;;;;;;;;
1379;(Fairy Tail);Minerva Orland;Manipulating the pieces according to your strategy... That is what defines a King.;;;;;;;;
1380;(Air Gear);Itsuki Minami;Sure, it might be warm and comfortable in there... not only safe and sound, but I get all the meals too! But I'd rather be out than be trapped inside this bird cage of yours.;;;;;;;;
1381;(Air Gear);Rika Noyamano;No matter what kind of 'strength' you possess. There are places you can never reach no matter how hard you try. The farther it is... The higher it is...;;;;;;;;
1382;(Shingeki no Kyojin);Erwin Smith;If we only focus on making the best moves, we will never get the better of our opponent. When necessary, we must be willing to take big risks, and be prepared to lose everything. Unless we change how we fight, we cannot win.;;;;;;;;
1383;(Psycho-Pass Extended Edition);Makishima Shougo;Aging is quite similar to death. Some people stand up to aging and death as if it were nothing. They can do it not because they're braver than others, but simply because they lack imagination. Only once people deny that which they love, do they become able to create it anew. Perhaps, the book I write, too, will die one day just like my body will. However, people have to accept that death is unavoidable. They will probably be gone in ten years. Their books will no longer exist in a hundred years. People accept this. Eternity is promised neither to humans nor to books. We live because we were born. If the system possesses the power of life and death over you... you're no longer a human. You're livestock. No matter how hard a rancher tries to pretend otherwise, they never recognize their livestock as friends. It's a mystery to me... How is it that these people, treated as livestock in this boring society, have not tried at all to destroy it? Nothing in this world is eternal. The only thing that truly exists is the splendor of the souls that atone for their sins.;;;;;;;;
1384;(One thousand and one nights);Sehara;You cannot understand that which you do not know, and that misunderstanding breeds hatred.;;;;;;;;
1385;(Kore wa Zombie Desu ka? of the Dead);Sarasvati;You hide a tree by putting it in a forest;;;;;;;;
1386;(Medaka Box);Medaka Kurokami;"""To enjoy what one loves to do"". Those words come easily from the mouth. But it's another thing to help them grow.";;;;;;;;
1387;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Yukino Yukinoshita;Even if we know each other, understanding each other is another matter.;;;;;;;;
1388;(Grisaia no Meikyuu);Yuuji Kazami;They say you never know when a bullet you fired in battle will find its way back to you.;;;;;;;;
1389;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;That's not exactly right. If you had to sacrifice many things to protect one, you're more likely to give up and throw it away. Including relationships you have in your hand now.;;;;;;;;
1390;(Kore wa Zombie Desu ka? of the Dead);Ayumu Aikawa;Ah... Everything is such a bother. Even living.;;;;;;;;
1391;(Seiken Tsukai no World Break);Moroha Haimura;If you don't want to be taken from, stop taking.;;;;;;;;
1392;(The World God Only Knows);Keima Katsuragi;I don't give a damn about the real world.;;;;;;;;
1393;(Medaka Box);Hansode Shiranui;It's pointless to force people to do their best if they don't want to.;;;;;;;;
